ID,Disease Name,Category,Symptom Description,Leaf Color,Spots Present,Humidity (%),Temperature (°C),Soil pH,Cause
792,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,73.8,33.7,6.9,Virus
793,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,60.1,29.5,5.9,Virus
794,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,61.3,18.1,4.9,Bacteria
795,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,62.0,34.0,6.3,Environmental
796,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,53.1,22.2,6.6,Fungus
797,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,55.7,28.3,4.6,Deficiency
798,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,45.1,32.7,7.2,Virus
799,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,81.7,26.5,6.1,Deficiency
800,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,55.7,25.0,6.6,Environmental
801,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,81.9,19.7,5.7,Fungus
802,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,53.8,27.1,6.5,Fungus
803,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,56.1,28.9,7.4,Chemical
804,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,51.1,34.9,6.6,Bacteria
805,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,48.3,23.2,6.1,Fungus
806,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,87.2,26.7,7.2,Chemical
807,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,71.5,28.2,6.2,Environmental
808,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,78.4,34.9,6.4,Bacteria
809,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,41.4,23.8,5.2,Virus
810,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,46.0,17.2,6.8,Deficiency
811,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,77.2,23.3,6.8,Deficiency
812,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,44.6,18.4,5.6,Fungus
813,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,50.3,17.9,7.0,Environmental
814,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,56.4,19.7,7.1,Deficiency
815,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,69.3,21.6,4.7,Deficiency
816,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,71.9,26.5,6.9,Fungus
817,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,89.6,28.7,5.3,Chemical
818,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,65.5,22.9,4.5,Fungus
819,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,43.8,25.5,7.3,Virus
820,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,82.8,20.6,6.9,Environmental
821,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,58.2,22.7,4.5,Fungus
822,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,44.7,31.6,4.8,Virus
823,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,43.9,28.1,6.6,Environmental
824,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,50.1,32.4,7.2,Fungus
825,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,70.1,24.8,6.5,Fungus
826,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,83.7,31.2,4.7,Bacteria
827,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,60.7,21.8,5.6,Deficiency
828,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,54.2,26.3,5.0,Virus
829,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,72.5,22.5,7.3,Deficiency
830,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,65.2,21.6,7.0,Chemical
831,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,71.1,27.6,6.5,Environmental
832,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,80.0,33.7,5.2,Environmental
833,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,86.5,21.7,7.0,Environmental
834,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,53.9,33.3,5.7,Virus
835,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,57.6,23.0,6.6,Deficiency
836,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,65.3,15.3,5.1,Virus
837,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,72.2,18.3,6.9,Fungus
838,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,49.9,25.7,6.2,Environmental
839,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,48.4,19.7,5.1,Environmental
840,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,82.2,32.7,5.8,Fungus
841,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,81.0,32.0,6.7,Environmental
842,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,88.4,27.7,6.1,Bacteria
843,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,43.1,28.3,6.4,Environmental
844,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,81.6,23.4,5.2,Bacteria
845,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,51.6,22.3,5.4,Fungus
846,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,44.1,29.0,5.3,Deficiency
847,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,64.0,26.2,7.3,Chemical
848,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,84.9,21.9,6.0,Chemical
849,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,78.3,16.8,7.1,Chemical
850,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,44.6,15.9,7.3,Deficiency
851,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,45.8,20.7,7.2,Environmental
852,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,42.7,32.8,6.5,Chemical
853,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,66.9,32.7,7.1,Virus
854,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,64.3,26.5,5.5,Fungus
855,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,86.2,30.9,7.0,Bacteria
856,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,68.7,23.8,4.9,Fungus
857,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,70.2,20.1,4.9,Deficiency
858,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,47.1,31.6,5.3,Environmental
859,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,52.1,21.9,6.5,Bacteria
860,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,40.5,28.7,6.1,Virus
861,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,74.5,27.4,5.8,Fungus
862,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,49.9,16.1,4.6,Virus
863,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,55.4,18.1,5.0,Chemical
864,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,69.3,27.8,6.2,Deficiency
865,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.9,17.9,6.0,Fungus
866,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,73.9,26.1,7.1,Virus
867,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,68.9,19.0,5.8,Environmental
868,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,44.5,33.1,6.7,Fungus
869,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,77.3,16.7,4.7,Environmental
870,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,40.7,22.2,7.0,Virus
871,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,74.7,16.3,5.0,Fungus
872,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,83.1,25.0,5.9,Fungus
873,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,53.3,34.5,7.1,Chemical
874,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,75.3,26.2,6.4,Fungus
875,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,50.1,31.2,7.1,Deficiency
876,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,76.4,30.0,5.6,Bacteria
877,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,86.2,21.3,5.3,Bacteria
878,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,79.1,22.3,4.5,Deficiency
879,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,68.6,24.0,7.4,Fungus
880,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,82.5,20.6,5.6,Environmental
881,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,58.0,18.7,4.6,Fungus
882,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,68.6,23.6,7.0,Fungus
883,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,84.3,34.4,5.7,Bacteria
884,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,57.6,19.2,6.0,Environmental
885,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,57.5,26.9,7.0,Bacteria
886,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,83.9,28.5,4.7,Fungus
887,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,86.7,26.2,6.8,Bacteria
888,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,44.3,29.5,6.1,Fungus
889,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,88.1,32.8,4.7,Fungus
890,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,79.8,24.5,5.2,Virus
891,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,66.2,20.3,4.9,Environmental
892,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,83.6,15.8,4.6,Virus
893,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,80.5,30.4,7.1,Fungus
894,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,62.3,16.5,6.6,Fungus
895,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,89.2,22.1,5.6,Environmental
896,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,54.7,22.0,6.1,Fungus
897,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,43.7,31.0,4.7,Chemical
898,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,41.4,32.9,6.9,Bacteria
899,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,69.8,30.2,6.5,Deficiency
900,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,74.6,24.2,6.9,Environmental
901,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,55.6,32.1,5.2,Virus
902,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,80.2,28.6,6.8,Environmental
903,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,70.7,27.1,4.9,Virus
904,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,78.7,25.0,5.9,Environmental
905,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,77.0,24.4,5.4,Fungus
906,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,63.7,26.6,5.1,Virus
907,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,60.8,17.6,6.1,Fungus
908,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,45.2,15.0,5.6,Environmental
909,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,56.7,18.2,6.9,Environmental
910,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,43.5,22.5,6.0,Virus
911,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,71.4,32.9,4.9,Fungus
912,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,83.2,30.3,5.5,Chemical
913,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,47.4,23.5,4.8,Virus
914,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,79.0,31.0,7.0,Chemical
915,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,64.2,33.8,7.0,Bacteria
916,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,40.1,16.9,7.3,Chemical
917,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,50.6,28.7,6.7,Virus
918,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,42.7,30.7,5.0,Environmental
919,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,48.6,28.0,6.8,Virus
920,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,46.5,34.2,5.6,Fungus
921,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,57.1,33.8,6.5,Deficiency
922,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,77.6,29.9,6.3,Bacteria
923,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,51.8,18.2,6.4,Fungus
924,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,67.8,17.9,4.9,Deficiency
925,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,76.4,33.4,4.9,Fungus
926,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,54.9,17.0,5.7,Chemical
927,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,84.0,23.8,7.1,Chemical
928,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,59.7,26.3,6.7,Fungus
929,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,48.9,33.1,6.5,Bacteria
930,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,61.2,23.2,4.6,Fungus
931,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,73.3,32.7,7.1,Bacteria
932,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,68.2,21.2,5.0,Bacteria
933,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,86.5,34.0,6.0,Environmental
934,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,87.7,15.8,4.9,Chemical
935,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,79.4,28.1,4.6,Chemical
936,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,87.5,31.0,6.2,Fungus
937,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,84.2,24.2,6.5,Virus
938,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,71.6,30.6,5.7,Fungus
939,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,87.1,17.4,5.4,Virus
940,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,77.8,19.8,5.9,Environmental
941,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,73.2,21.1,7.1,Environmental
942,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,61.5,29.0,4.8,Fungus
943,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,58.5,31.1,6.1,Virus
944,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,45.7,24.0,7.1,Environmental
945,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,63.0,30.7,7.0,Fungus
946,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,71.0,28.2,7.0,Environmental
947,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,77.0,20.4,4.8,Virus
948,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,54.1,20.3,5.1,Fungus
949,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,75.2,34.0,7.2,Fungus
950,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,48.9,23.4,6.6,Virus
951,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,63.8,28.4,7.5,Environmental
952,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,57.6,33.7,7.1,Environmental
953,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,70.8,33.3,7.3,Chemical
954,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,70.0,25.6,5.1,Bacteria
955,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,82.9,31.8,5.6,Environmental
956,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,49.7,17.3,7.4,Virus
957,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,50.4,24.1,6.0,Chemical
958,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,55.9,17.9,7.0,Virus
959,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,70.6,33.7,5.7,Environmental
960,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,52.1,30.6,6.5,Fungus
961,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,65.1,34.7,6.0,Fungus
962,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,82.7,24.2,4.9,Chemical
963,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,89.2,24.6,5.8,Environmental
964,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,59.4,25.9,4.7,Fungus
965,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,40.6,30.7,4.8,Fungus
966,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,84.3,20.8,5.2,Environmental
967,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,86.2,30.0,6.6,Environmental
968,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,87.0,23.2,5.8,Bacteria
969,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,56.6,15.6,6.6,Fungus
970,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,58.5,26.4,4.9,Environmental
971,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,77.1,25.3,7.3,Chemical
972,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,89.5,26.6,5.0,Virus
973,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,78.7,21.7,7.2,Virus
974,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,40.6,23.4,5.1,Virus
975,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,56.9,28.8,5.6,Chemical
976,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,66.2,27.1,7.1,Fungus
977,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,66.6,34.5,5.3,Fungus
978,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.4,22.2,7.2,Bacteria
979,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,61.0,20.1,5.3,Fungus
980,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,45.0,32.5,7.4,Fungus
981,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,42.0,20.5,5.9,Virus
982,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,53.5,17.1,7.1,Deficiency
983,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,87.5,22.6,4.6,Bacteria
984,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,75.8,15.6,6.1,Fungus
985,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,88.7,32.5,5.0,Fungus
986,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,56.8,21.7,6.4,Deficiency
987,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,65.9,31.7,5.1,Bacteria
988,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,76.5,31.1,5.1,Chemical
989,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,61.5,29.0,4.8,Environmental
990,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,89.5,18.8,5.7,Fungus
991,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,64.3,19.6,7.0,Fungus
992,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,81.6,29.2,6.9,Fungus
993,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,81.0,34.5,7.1,Environmental
994,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,62.6,30.5,4.6,Bacteria
995,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,44.8,16.5,5.0,Virus
996,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,57.4,15.1,6.7,Fungus
997,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,73.7,16.0,7.3,Bacteria
998,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,88.0,30.8,4.6,Virus
999,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,74.4,28.1,5.9,Fungus
1000,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,81.6,29.0,5.5,Virus
1001,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,53.8,32.5,5.0,Fungus
1002,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,68.6,33.3,5.8,Fungus
1003,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,52.4,22.3,5.1,Fungus
1004,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,67.7,34.6,5.9,Virus
1005,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,65.1,30.4,6.6,Fungus
1006,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,43.3,31.8,7.4,Environmental
1007,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,73.1,18.8,5.0,Virus
1008,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,51.3,23.2,6.8,Fungus
1009,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.8,24.9,5.6,Bacteria
1010,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,88.1,23.9,6.7,Virus
1011,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,40.1,20.9,7.2,Virus
1012,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,84.7,22.3,4.7,Environmental
1013,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,74.1,15.4,6.5,Fungus
1014,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,75.3,30.3,5.6,Environmental
1015,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,58.1,26.4,6.4,Bacteria
1016,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,73.7,21.2,5.9,Fungus
1017,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,42.1,31.6,5.3,Fungus
1018,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,59.9,16.4,7.1,Fungus
1019,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,62.9,34.1,6.1,Fungus
1020,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,67.4,31.7,6.9,Bacteria
1021,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,40.5,32.8,5.1,Deficiency
1022,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,59.8,20.7,6.5,Environmental
1023,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,61.9,34.3,5.9,Bacteria
1024,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,89.8,15.1,7.0,Virus
1025,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,68.4,24.6,5.1,Bacteria
1026,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.7,28.3,7.0,Bacteria
1027,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,50.9,16.1,6.1,Virus
1028,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,90.0,19.5,5.2,Fungus
1029,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,74.4,18.3,5.0,Deficiency
1030,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,74.4,15.7,7.2,Virus
1031,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,86.2,31.2,6.8,Fungus
1032,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,68.7,23.2,6.6,Bacteria
1033,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,73.1,19.2,5.0,Chemical
1034,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,48.9,25.3,5.4,Environmental
1035,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,62.5,26.9,5.0,Fungus
1036,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,44.1,26.2,5.4,Environmental
1037,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,45.0,17.8,5.3,Bacteria
1038,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,41.7,30.9,5.0,Deficiency
1039,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,69.0,17.2,6.7,Environmental
1040,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,55.9,23.3,7.3,Virus
1041,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,72.8,34.4,6.5,Environmental
1042,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,48.3,26.2,5.0,Virus
